name,lat,lon,cuisine,tags,price_range,rating,city,address,review_count
St Honore Pastries,39.9555052,-75.1555641,bubble tea,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,935 Race St,80
Tuna Bar,39.953949,-75.1432262,sushi bars,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}""}",medium,4.0,Philadelphia,205 Race St,245
BAP,39.943223,-75.162568,korean,"{'delivery': 'None', 'takeout': 'True', 'outdoor': 'None', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,1224 South St,205
Craft Hall,39.9625821,-75.1356571,eatertainment,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",medium,3.5,Philadelphia,901 N Delaware Ave,65
Wawa,39.954573,-75.1948936,automotive,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,3604 Chestnut St,56
Golden Chopstick Chinese Restaurant,39.963077709,-75.1680274529,chinese,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,3.0,Philadelphia,1800 Spring Garden St,137
Giant Food Stores,39.9565280024,-75.178013742,grocery,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{u'valet': False, u'garage': True, u'street': False, u'lot': True, u'validated': False}""}",medium,4.0,Philadelphia,60 N 23rd St,19
Wendy's,40.012141,-75.1150148,burgers,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",low,1.5,Philadelphia,700 E. Hunting Park,15
ReAnimator Coffee,39.9764555,-75.1270254,coffee & tea,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.0,Philadelphia,1523 E Susquehanna Ave,105
Red Hook Coffee & Tea,39.9385518,-75.1496356,breakfast & brunch,"{'delivery': 'False', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,765 S 4th St,183
CVS Pharmacy,40.0612774187,-75.2372046062,drugstores,"{'delivery': 'True', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",low,3.0,Philadelphia,518 Port Royal Ave,11
Baltic Bakery,39.9768798,-75.1161695,bakeries,"{'delivery': 'False', 'takeout': 'False', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,2609 Edgemont St,12
Brown Sugar Bakery & Cafe,39.9563959,-75.2253784,cupcakes,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",low,4.5,Philadelphia,219 S 52nd St,66
Best Tours,40.1197128,-75.0097103,tours,{},medium,1.0,Philadelphia,,38
Federal Donuts,39.963042,-75.1741858944,sandwiches,{},medium,4.5,Philadelphia,2101 Pennsylvania Ave,11
Crown Fried Chicken,39.9368911,-75.1672837,fast food,"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'False', 'parking': ""{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}""}",low,2.5,Philadelphia,1128 S Broad St,16
The Love,39.9506555,-75.1708991,american (new),"{'delivery': 'True', 'takeout': 'True', 'outdoor': 'True', 'parking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",medium,4.0,Philadelphia,130 S 18th St,618
